LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)
U5 7-95 (+1)	=> 1114531-1114619 (-1)
U5 99-118 (+1)	=> 1114511-1114530 (-1)

snoR41 1-97 (+1)	=> 1122598-1122683 (+1)
Percent identity: 
Cigar string: 25M5I20M7I7MI6M3D22MI3M
ungapped:
snoR41 1-25 (+1)	=> 1122598-1122622 (+1)
snoR41 26-45 (+1)	=> 1122628-1122647 (+1)
snoR41 46-52 (+1)	=> 1122655-1122661 (+1)
snoR41 53-58 (+1)	=> 1122663-1122668 (+1)
snoR41 62-83 (+1)	=> 1122669-1122690 (+1)
snoR41 84-86 (+1)	=> 1122692-1122694 (+1)

snoZ155 1-81 (+1)	=> 1122771-1122852 (+1)
Percent identity: 
Cigar string: 39MD42M
ungapped:
snoZ155 1-39 (+1)	=> 1122771-1122809 (+1)
snoZ155 41-82 (+1)	=> 1122810-1122851 (+1)

Metazoa_SRP 1-301 (+1)	=> 1318877-1319185 (-1)
Percent identity: 
Cigar string: 30MI4M4I6MD14M3I30M4D45MD62M2D58MD5M4D4I5M9D13M2I15M
ungapped:
Metazoa_SRP 1-30 (+1)	=> 1319156-1319185 (-1)
Metazoa_SRP 31-34 (+1)	=> 1319151-1319154 (-1)
Metazoa_SRP 35-40 (+1)	=> 1319141-1319146 (-1)
Metazoa_SRP 42-55 (+1)	=> 1319127-1319140 (-1)
Metazoa_SRP 56-85 (+1)	=> 1319094-1319123 (-1)
Metazoa_SRP 90-134 (+1)	=> 1319049-1319093 (-1)
Metazoa_SRP 136-197 (+1)	=> 1318987-1319048 (-1)
Metazoa_SRP 200-257 (+1)	=> 1318929-1318986 (-1)
Metazoa_SRP 259-263 (+1)	=> 1318924-1318928 (-1)
Metazoa_SRP 268-272 (+1)	=> 1318915-1318919 (-1)
Metazoa_SRP 282-294 (+1)	=> 1318902-1318914 (-1)
Metazoa_SRP 295-309 (+1)	=> 1318885-1318899 (-1)

Plant_SRP 1-305 (+1)	=> 1318879-1319185 (-1)
Percent identity: 
Cigar string: 125MI6MD40MD107MD26M
ungapped:
Plant_SRP 1-125 (+1)	=> 1319061-1319185 (-1)
Plant_SRP 126-131 (+1)	=> 1319054-1319059 (-1)
Plant_SRP 133-172 (+1)	=> 1319014-1319053 (-1)
Plant_SRP 174-280 (+1)	=> 1318907-1319013 (-1)
Plant_SRP 282-307 (+1)	=> 1318881-1318906 (-1)

Protozoa_SRP 1-241 (+1)	=> 1318920-1319169 (-1)
Percent identity: 
Cigar string: 11MD47M3D15M4D34MD66M2D13MD36MD7M2IM2I7M
ungapped:
Protozoa_SRP 1-11 (+1)	=> 1319159-1319169 (-1)
Protozoa_SRP 13-59 (+1)	=> 1319112-1319158 (-1)
Protozoa_SRP 63-77 (+1)	=> 1319097-1319111 (-1)
Protozoa_SRP 82-115 (+1)	=> 1319063-1319096 (-1)
Protozoa_SRP 117-182 (+1)	=> 1318997-1319062 (-1)
Protozoa_SRP 185-197 (+1)	=> 1318984-1318996 (-1)
Protozoa_SRP 199-234 (+1)	=> 1318948-1318983 (-1)
Protozoa_SRP 236-242 (+1)	=> 1318941-1318947 (-1)
Protozoa_SRP 243-243 (+1)	=> 1318938-1318938 (-1)
Protozoa_SRP 244-250 (+1)	=> 1318929-1318935 (-1)

snoU36a 1-90 (+1)	=> 1445996-1446086 (-1)
Percent identity: 
Cigar string: 39M2D14MI36M
ungapped:
snoU36a 1-39 (+1)	=> 1446048-1446086 (-1)
snoU36a 42-55 (+1)	=> 1446034-1446047 (-1)
snoU36a 56-91 (+1)	=> 1445997-1446032 (-1)

snoR134 1-149 (+1)	=> 1446117-1446258 (-1)
Percent identity: 
Cigar string: 8MI26MI39M3I7MI10MD10M2I41M
ungapped:
snoR134 1-8 (+1)	=> 1446251-1446258 (-1)
snoR134 9-34 (+1)	=> 1446224-1446249 (-1)
snoR134 35-73 (+1)	=> 1446184-1446222 (-1)
snoR134 74-80 (+1)	=> 1446174-1446180 (-1)
snoR134 81-90 (+1)	=> 1446163-1446172 (-1)
snoR134 92-101 (+1)	=> 1446153-1446162 (-1)
snoR134 102-142 (+1)	=> 1446110-1446150 (-1)

Metazoa_SRP 1-301 (+1)	=> 1472726-1473031 (+1)
Percent identity: 
Cigar string: 30MI4M4I6M2D2I8M2I17MD11M2D3I4M4D107M4I2D53MD2MID5M5DI8M5D18MI6M3I2M
ungapped:
Metazoa_SRP 1-30 (+1)	=> 1472726-1472755 (+1)
Metazoa_SRP 31-34 (+1)	=> 1472757-1472760 (+1)
Metazoa_SRP 35-40 (+1)	=> 1472765-1472770 (+1)
Metazoa_SRP 43-50 (+1)	=> 1472773-1472780 (+1)
Metazoa_SRP 51-67 (+1)	=> 1472783-1472799 (+1)
Metazoa_SRP 69-79 (+1)	=> 1472800-1472810 (+1)
Metazoa_SRP 82-85 (+1)	=> 1472814-1472817 (+1)
Metazoa_SRP 90-196 (+1)	=> 1472818-1472924 (+1)
Metazoa_SRP 199-251 (+1)	=> 1472929-1472981 (+1)
Metazoa_SRP 253-254 (+1)	=> 1472982-1472983 (+1)
Metazoa_SRP 256-260 (+1)	=> 1472985-1472989 (+1)
Metazoa_SRP 266-273 (+1)	=> 1472991-1472998 (+1)
Metazoa_SRP 279-296 (+1)	=> 1472999-1473016 (+1)
Metazoa_SRP 297-302 (+1)	=> 1473018-1473023 (+1)
Metazoa_SRP 303-304 (+1)	=> 1473027-1473028 (+1)

Plant_SRP 1-305 (+1)	=> 1472726-1473031 (+1)
Percent identity: 
Cigar string: 125MI46MD107MD26M
ungapped:
Plant_SRP 1-125 (+1)	=> 1472726-1472850 (+1)
Plant_SRP 126-171 (+1)	=> 1472852-1472897 (+1)
Plant_SRP 173-279 (+1)	=> 1472898-1473004 (+1)
Plant_SRP 281-306 (+1)	=> 1473005-1473030 (+1)

Protozoa_SRP 1-241 (+1)	=> 1472742-1472990 (+1)
Percent identity: 
Cigar string: 11MD39MD8M6D115M2D13MD36MD4I15M
ungapped:
Protozoa_SRP 1-11 (+1)	=> 1472742-1472752 (+1)
Protozoa_SRP 13-51 (+1)	=> 1472753-1472791 (+1)
Protozoa_SRP 53-60 (+1)	=> 1472792-1472799 (+1)
Protozoa_SRP 67-181 (+1)	=> 1472800-1472914 (+1)
Protozoa_SRP 184-196 (+1)	=> 1472915-1472927 (+1)
Protozoa_SRP 198-233 (+1)	=> 1472928-1472963 (+1)
Protozoa_SRP 235-249 (+1)	=> 1472968-1472982 (+1)

Metazoa_SRP 1-301 (+1)	=> 1476284-1476591 (+1)
Percent identity: 
Cigar string: 30MI4M4I6MD11MI7MI20MI6M4D107M4I2D53MD8M4D9M4D8MI21M
ungapped:
Metazoa_SRP 1-30 (+1)	=> 1476284-1476313 (+1)
Metazoa_SRP 31-34 (+1)	=> 1476315-1476318 (+1)
Metazoa_SRP 35-40 (+1)	=> 1476323-1476328 (+1)
Metazoa_SRP 42-52 (+1)	=> 1476329-1476339 (+1)
Metazoa_SRP 53-59 (+1)	=> 1476341-1476347 (+1)
Metazoa_SRP 60-79 (+1)	=> 1476349-1476368 (+1)
Metazoa_SRP 80-85 (+1)	=> 1476370-1476375 (+1)
Metazoa_SRP 90-196 (+1)	=> 1476376-1476482 (+1)
Metazoa_SRP 199-251 (+1)	=> 1476487-1476539 (+1)
Metazoa_SRP 253-260 (+1)	=> 1476540-1476547 (+1)
Metazoa_SRP 265-273 (+1)	=> 1476548-1476556 (+1)
Metazoa_SRP 278-285 (+1)	=> 1476557-1476564 (+1)
Metazoa_SRP 286-306 (+1)	=> 1476566-1476586 (+1)

Plant_SRP 1-305 (+1)	=> 1476284-1476589 (+1)
Percent identity: 
Cigar string: 125MI46MD107MD26M
ungapped:
Plant_SRP 1-125 (+1)	=> 1476284-1476408 (+1)
Plant_SRP 126-171 (+1)	=> 1476410-1476455 (+1)
Plant_SRP 173-279 (+1)	=> 1476456-1476562 (+1)
Plant_SRP 281-306 (+1)	=> 1476563-1476588 (+1)

Protozoa_SRP 1-241 (+1)	=> 1476300-1476548 (+1)
Percent identity: 
Cigar string: 11MD39MD8M6D115M2D13MD34M3I18M
ungapped:
Protozoa_SRP 1-11 (+1)	=> 1476300-1476310 (+1)
Protozoa_SRP 13-51 (+1)	=> 1476311-1476349 (+1)
Protozoa_SRP 53-60 (+1)	=> 1476350-1476357 (+1)
Protozoa_SRP 67-181 (+1)	=> 1476358-1476472 (+1)
Protozoa_SRP 184-196 (+1)	=> 1476473-1476485 (+1)
Protozoa_SRP 198-231 (+1)	=> 1476486-1476519 (+1)
Protozoa_SRP 232-249 (+1)	=> 1476523-1476540 (+1)

U6 1-104 (+1)	=> 1483020-1483122 (-1)
Percent identity: 
Cigar string: 5MI4MI72MD21M
ungapped:
U6 1-5 (+1)	=> 1483118-1483122 (-1)
U6 6-9 (+1)	=> 1483113-1483116 (-1)
U6 10-81 (+1)	=> 1483040-1483111 (-1)
U6 83-103 (+1)	=> 1483019-1483039 (-1)

snoJ33 1-81 (+1)	=> 1576645-1576720 (+1)
Percent identity: 
Cigar string: 4M4I66MI6M
ungapped:
snoJ33 1-4 (+1)	=> 1576645-1576648 (+1)
snoJ33 5-70 (+1)	=> 1576653-1576718 (+1)
snoJ33 71-76 (+1)	=> 1576720-1576725 (+1)

MIR854 1-221 (+1)	=> 1688777-1688997 (-1)
Percent identity: 
Cigar string: 8MI4MD208M
ungapped:
MIR854 1-8 (+1)	=> 1688990-1688997 (-1)
MIR854 9-12 (+1)	=> 1688985-1688988 (-1)
MIR854 14-221 (+1)	=> 1688777-1688984 (-1)

snoR71 1-107 (+1)	=> 1693409-1693515 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 1693409-1693515 (+1)

snoR71 1-107 (+1)	=> 1696454-1696560 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 1696454-1696560 (+1)

snoR71 1-107 (+1)	=> 1788872-1788978 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 1788872-1788978 (-1)

MIR854 1-221 (+1)	=> 1809063-1809283 (+1)
Percent identity: 
Cigar string: 8MI4MD208M
ungapped:
MIR854 1-8 (+1)	=> 1809063-1809070 (+1)
MIR854 9-12 (+1)	=> 1809072-1809075 (+1)
MIR854 14-221 (+1)	=> 1809076-1809283 (+1)

snoR71 1-107 (+1)	=> 1833227-1833333 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 1833227-1833333 (+1)

snoJ33 1-81 (+1)	=> 2540078-2540156 (+1)
Percent identity: 
Cigar string: 78M2IM
ungapped:
snoJ33 1-78 (+1)	=> 2540078-2540155 (+1)
snoJ33 79-79 (+1)	=> 2540158-2540158 (+1)

snoR2 1-149 (+1)	=> 2586794-2586945 (-1)
Percent identity: 
Cigar string: 26M7D15M4D10MI60M3I16M4I14M
ungapped:
snoR2 1-26 (+1)	=> 2586920-2586945 (-1)
snoR2 34-48 (+1)	=> 2586905-2586919 (-1)
snoR2 53-62 (+1)	=> 2586895-2586904 (-1)
snoR2 63-122 (+1)	=> 2586834-2586893 (-1)
snoR2 123-138 (+1)	=> 2586815-2586830 (-1)
snoR2 139-152 (+1)	=> 2586797-2586810 (-1)

snoZ112 1-184 (+1)	=> 2586979-2587103 (-1)
Percent identity: 
Cigar string: 23M4D35MD11M3I68D38MD9M
ungapped:
snoZ112 1-23 (+1)	=> 2587081-2587103 (-1)
snoZ112 28-62 (+1)	=> 2587046-2587080 (-1)
snoZ112 64-74 (+1)	=> 2587035-2587045 (-1)
snoZ112 143-180 (+1)	=> 2586994-2587031 (-1)
snoZ112 182-190 (+1)	=> 2586985-2586993 (-1)

snoU49 1-65 (+1)	=> 2587037-2587102 (-1)
Percent identity: 
Cigar string: 24MD41M
ungapped:
snoU49 1-24 (+1)	=> 2587079-2587102 (-1)
snoU49 26-66 (+1)	=> 2587038-2587078 (-1)

MIR397 1-117 (+1)	=> 2625950-2626054 (+1)
Percent identity: 
Cigar string: 38MI29M10I7MI31M
ungapped:
MIR397 1-38 (+1)	=> 2625950-2625987 (+1)
MIR397 39-67 (+1)	=> 2625989-2626017 (+1)
MIR397 68-74 (+1)	=> 2626028-2626034 (+1)
MIR397 75-105 (+1)	=> 2626036-2626066 (+1)

MIR397 1-117 (+1)	=> 2625952-2626056 (-1)
Percent identity: 
Cigar string: 38M2I28M10I39M
ungapped:
MIR397 1-38 (+1)	=> 2626019-2626056 (-1)
MIR397 39-66 (+1)	=> 2625989-2626016 (-1)
MIR397 67-105 (+1)	=> 2625940-2625978 (-1)

MIR405 1-122 (+1)	=> 2789631-2789758 (+1)
Percent identity: 
Cigar string: 29M2D19MD52M2D16MD6M
ungapped:
MIR405 1-29 (+1)	=> 2789631-2789659 (+1)
MIR405 32-50 (+1)	=> 2789660-2789678 (+1)
MIR405 52-103 (+1)	=> 2789679-2789730 (+1)
MIR405 106-121 (+1)	=> 2789731-2789746 (+1)
MIR405 123-128 (+1)	=> 2789747-2789752 (+1)

MIR405 1-122 (+1)	=> 2789639-2789761 (-1)
Percent identity: 
Cigar string: 80MD42M
ungapped:
MIR405 1-80 (+1)	=> 2789682-2789761 (-1)
MIR405 82-123 (+1)	=> 2789640-2789681 (-1)

MIR854 1-221 (+1)	=> 2835606-2835804 (+1)
Percent identity: 
Cigar string: 91M22I108M
ungapped:
MIR854 1-91 (+1)	=> 2835606-2835696 (+1)
MIR854 92-199 (+1)	=> 2835719-2835826 (+1)

snoR71 1-107 (+1)	=> 2879259-2879365 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 2879259-2879365 (-1)

MIR854 1-221 (+1)	=> 2887715-2887935 (+1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 2887715-2887935 (+1)

snoR71 1-107 (+1)	=> 2892775-2892881 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 2892775-2892881 (-1)

MIR854 1-221 (+1)	=> 2897711-2897931 (+1)
Percent identity: 
Cigar string: 8MI4MD208M
ungapped:
MIR854 1-8 (+1)	=> 2897711-2897718 (+1)
MIR854 9-12 (+1)	=> 2897720-2897723 (+1)
MIR854 14-221 (+1)	=> 2897724-2897931 (+1)

snoR71 1-107 (+1)	=> 2974698-2974804 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 2974698-2974804 (+1)

snoR71 1-107 (+1)	=> 3015672-3015778 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3015672-3015778 (-1)

5S_rRNA 1-119 (+1)	=> 3054703-3054821 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3054703-3054821 (+1)

5S_rRNA 1-119 (+1)	=> 3055201-3055319 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3055201-3055319 (+1)

5S_rRNA 1-119 (+1)	=> 3055699-3055817 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3055699-3055817 (+1)

5S_rRNA 1-119 (+1)	=> 3056197-3056315 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3056197-3056315 (+1)

5S_rRNA 1-119 (+1)	=> 3056695-3056782 (+1)
Percent identity: 
Cigar string: 63M2D3M9I42D11M
ungapped:
5S_rRNA 1-63 (+1)	=> 3056695-3056757 (+1)
5S_rRNA 66-68 (+1)	=> 3056758-3056760 (+1)
5S_rRNA 111-121 (+1)	=> 3056770-3056780 (+1)

5S_rRNA 1-119 (+1)	=> 3057162-3057280 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3057162-3057280 (+1)

5S_rRNA 1-119 (+1)	=> 3057660-3057778 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3057660-3057778 (+1)

5S_rRNA 1-119 (+1)	=> 3058158-3058276 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3058158-3058276 (+1)

5S_rRNA 1-119 (+1)	=> 3058656-3058774 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3058656-3058774 (+1)

5S_rRNA 1-119 (+1)	=> 3059154-3059272 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3059154-3059272 (+1)

5S_rRNA 1-119 (+1)	=> 3059652-3059770 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3059652-3059770 (+1)

5S_rRNA 1-119 (+1)	=> 3060150-3060268 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3060150-3060268 (+1)

5S_rRNA 1-119 (+1)	=> 3060648-3060766 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3060648-3060766 (+1)

5S_rRNA 1-119 (+1)	=> 3061146-3061264 (+1)
Percent identity: 
Cigar string: 119M
ungapped:
5S_rRNA 1-119 (+1)	=> 3061146-3061264 (+1)

snoR71 1-107 (+1)	=> 3081442-3081536 (+1)
Percent identity: 
Cigar string: 58M2I14D35M
ungapped:
snoR71 1-58 (+1)	=> 3081442-3081499 (+1)
snoR71 73-107 (+1)	=> 3081502-3081536 (+1)

MIR854 1-221 (+1)	=> 3090810-3091001 (-1)
Percent identity: 
Cigar string: 8MI4MD60M29I119M
ungapped:
MIR854 1-8 (+1)	=> 3090994-3091001 (-1)
MIR854 9-12 (+1)	=> 3090989-3090992 (-1)
MIR854 14-73 (+1)	=> 3090929-3090988 (-1)
MIR854 74-192 (+1)	=> 3090781-3090899 (-1)

snoR71 1-107 (+1)	=> 3095294-3095400 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3095294-3095400 (+1)

MIR405 1-122 (+1)	=> 3133619-3133713 (+1)
Percent identity: 
Cigar string: 45M11I38D39M
ungapped:
MIR405 1-45 (+1)	=> 3133619-3133663 (+1)
MIR405 84-122 (+1)	=> 3133675-3133713 (+1)

snoR43 1-73 (+1)	=> 3162738-3162810 (+1)
Percent identity: 
Cigar string: 73M
ungapped:
snoR43 1-73 (+1)	=> 3162738-3162810 (+1)

MIR854 1-221 (+1)	=> 3177024-3177244 (-1)
Percent identity: 
Cigar string: 8MI10MD202M
ungapped:
MIR854 1-8 (+1)	=> 3177237-3177244 (-1)
MIR854 9-18 (+1)	=> 3177226-3177235 (-1)
MIR854 20-221 (+1)	=> 3177024-3177225 (-1)

snoR71 1-107 (+1)	=> 3181738-3181824 (+1)
Percent identity: 
Cigar string: 14M20I73M
ungapped:
snoR71 1-14 (+1)	=> 3181738-3181751 (+1)
snoR71 15-87 (+1)	=> 3181772-3181844 (+1)

snoR71 1-107 (+1)	=> 3271311-3271417 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3271311-3271417 (-1)

snoR71 1-107 (+1)	=> 3276902-3277008 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3276902-3277008 (-1)

MIR854 1-221 (+1)	=> 3281810-3282030 (+1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 3281810-3282030 (+1)

snoR71 1-107 (+1)	=> 3312318-3312424 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3312318-3312424 (+1)

snoR71 1-107 (+1)	=> 3352246-3352352 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3352246-3352352 (+1)

MIR405 1-122 (+1)	=> 3359438-3359525 (-1)
Percent identity: 
Cigar string: 41M2I4M2I34D41M
ungapped:
MIR405 1-41 (+1)	=> 3359485-3359525 (-1)
MIR405 42-45 (+1)	=> 3359479-3359482 (-1)
MIR405 80-120 (+1)	=> 3359436-3359476 (-1)

snoR71 1-107 (+1)	=> 3374088-3374194 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3374088-3374194 (+1)

MIR854 1-221 (+1)	=> 3379358-3379573 (-1)
Percent identity: 
Cigar string: 171MI28M4I17M
ungapped:
MIR854 1-171 (+1)	=> 3379403-3379573 (-1)
MIR854 172-199 (+1)	=> 3379374-3379401 (-1)
MIR854 200-216 (+1)	=> 3379353-3379369 (-1)

snoR71 1-107 (+1)	=> 3389654-3389760 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3389654-3389760 (+1)

snoR71 1-107 (+1)	=> 3403574-3403680 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3403574-3403680 (+1)

snoR71 1-107 (+1)	=> 3458335-3458441 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3458335-3458441 (-1)

MIR854 1-221 (+1)	=> 3465438-3465628 (+1)
Percent identity: 
Cigar string: 13M9I148M14I24D2M11I14M
ungapped:
MIR854 1-13 (+1)	=> 3465438-3465450 (+1)
MIR854 14-161 (+1)	=> 3465460-3465607 (+1)
MIR854 186-187 (+1)	=> 3465622-3465623 (+1)
MIR854 188-201 (+1)	=> 3465635-3465648 (+1)

snoR71 1-107 (+1)	=> 3493702-3493808 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3493702-3493808 (-1)

snoR71 1-107 (+1)	=> 3495543-3495649 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3495543-3495649 (+1)

snoR71 1-107 (+1)	=> 3498523-3498629 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3498523-3498629 (+1)

MIR854 1-221 (+1)	=> 3539854-3540074 (-1)
Percent identity: 
Cigar string: 8MI4MD208M
ungapped:
MIR854 1-8 (+1)	=> 3540067-3540074 (-1)
MIR854 9-12 (+1)	=> 3540062-3540065 (-1)
MIR854 14-221 (+1)	=> 3539854-3540061 (-1)

snoR71 1-107 (+1)	=> 3544656-3544762 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3544656-3544762 (+1)

snoR71 1-107 (+1)	=> 3548255-3548361 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3548255-3548361 (-1)

snoR71 1-107 (+1)	=> 3587883-3587989 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3587883-3587989 (+1)

MIR854 1-221 (+1)	=> 3619490-3619710 (-1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 3619490-3619710 (-1)

snoR71 1-107 (+1)	=> 3692329-3692435 (-1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3692329-3692435 (-1)

MIR854 1-221 (+1)	=> 3699872-3700092 (+1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 3699872-3700092 (+1)

MIR405 1-122 (+1)	=> 3731697-3731819 (+1)
Percent identity: 
Cigar string: 29M2D73M2I12MD6M
ungapped:
MIR405 1-29 (+1)	=> 3731697-3731725 (+1)
MIR405 32-104 (+1)	=> 3731726-3731798 (+1)
MIR405 105-116 (+1)	=> 3731801-3731812 (+1)
MIR405 118-123 (+1)	=> 3731813-3731818 (+1)

MIR405 1-122 (+1)	=> 3731705-3731826 (-1)
Percent identity: 
Cigar string: 122M
ungapped:
MIR405 1-122 (+1)	=> 3731705-3731826 (-1)

MIR854 1-221 (+1)	=> 3739826-3740037 (-1)
Percent identity: 
Cigar string: 163M9I49M
ungapped:
MIR854 1-163 (+1)	=> 3739875-3740037 (-1)
MIR854 164-212 (+1)	=> 3739817-3739865 (-1)

snoR71 1-107 (+1)	=> 3747505-3747611 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3747505-3747611 (+1)

snoR71 1-107 (+1)	=> 3815380-3815486 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3815380-3815486 (+1)

MIR854 1-221 (+1)	=> 3842269-3842485 (-1)
Percent identity: 
Cigar string: 6MI9M3I202M
ungapped:
MIR854 1-6 (+1)	=> 3842480-3842485 (-1)
MIR854 7-15 (+1)	=> 3842470-3842478 (-1)
MIR854 16-217 (+1)	=> 3842265-3842466 (-1)

snoR71 1-107 (+1)	=> 3849794-3849900 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3849794-3849900 (+1)

snoR71 1-107 (+1)	=> 3866003-3866109 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3866003-3866109 (+1)

MIR854 1-221 (+1)	=> 3870315-3870531 (-1)
Percent identity: 
Cigar string: 6MI9M3I202M
ungapped:
MIR854 1-6 (+1)	=> 3870526-3870531 (-1)
MIR854 7-15 (+1)	=> 3870516-3870524 (-1)
MIR854 16-217 (+1)	=> 3870311-3870512 (-1)

snoR71 1-107 (+1)	=> 3874971-3875077 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3874971-3875077 (+1)

MIR854 1-221 (+1)	=> 3906823-3907043 (-1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 3906823-3907043 (-1)

snoR9_plant 1-129 (+1)	=> 3941621-3941739 (-1)
Percent identity: 
Cigar string: 12M11I38MD68M
ungapped:
snoR9_plant 1-12 (+1)	=> 3941728-3941739 (-1)
snoR9_plant 13-50 (+1)	=> 3941679-3941716 (-1)
snoR9_plant 52-119 (+1)	=> 3941611-3941678 (-1)

snoR43 1-73 (+1)	=> 3943778-3943850 (-1)
Percent identity: 
Cigar string: 73M
ungapped:
snoR43 1-73 (+1)	=> 3943778-3943850 (-1)

MIR854 1-221 (+1)	=> 3960085-3960305 (-1)
Percent identity: 
Cigar string: 8MI4MD208M
ungapped:
MIR854 1-8 (+1)	=> 3960298-3960305 (-1)
MIR854 9-12 (+1)	=> 3960293-3960296 (-1)
MIR854 14-221 (+1)	=> 3960085-3960292 (-1)

snoR71 1-107 (+1)	=> 3965032-3965138 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3965032-3965138 (+1)

MIR854 1-221 (+1)	=> 3991293-3991509 (-1)
Percent identity: 
Cigar string: 6MI9M3I202M
ungapped:
MIR854 1-6 (+1)	=> 3991504-3991509 (-1)
MIR854 7-15 (+1)	=> 3991494-3991502 (-1)
MIR854 16-217 (+1)	=> 3991289-3991490 (-1)

snoR71 1-107 (+1)	=> 3995883-3995989 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 3995883-3995989 (+1)

MIR854 1-221 (+1)	=> 4020004-4020224 (-1)
Percent identity: 
Cigar string: 221M
ungapped:
MIR854 1-221 (+1)	=> 4020004-4020224 (-1)

snoR71 1-107 (+1)	=> 4024401-4024507 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 4024401-4024507 (+1)

snoR71 1-107 (+1)	=> 4031564-4031670 (+1)
Percent identity: 
Cigar string: 107M
ungapped:
snoR71 1-107 (+1)	=> 4031564-4031670 (+1)

